SalesOrderID,Country,OrderDate,SalesChannelCode,ProdID,StyleName,CustomerAccountNumber,StoreKey,ProductLabel,ProductName,ProductDescription,Manufacturer,BrandName,Class,Color,StockType,Units,SalesAmount,RePurch,NSAT,SubCategory,Category,Sale Size
SO595551,Australia,"Saturday, December 6, 2014",I,444,Product0303029,AW00020213,,303029,WWI Desktop PC2.33 X2330 Black,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Wide World Importers,Wide World Importers,Deluxe,Black,High,5,"$4,595.00 ",3,2,Desktops,Computers,Medium
SO549751,Germany,"Friday, November 14, 2014",I,428,Product0303013,AW00013256,,303013,Adventure Works Desktop PC2.33 XD233 Brown,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,Brown,High,2,"$1,938.00 ",3,5,Desktops,Computers,Medium
SO526641,Canada,"Sunday, August 3, 2014",I,422,Product0303007,AW00023164,,303007,Adventure Works Desktop PC2.33 XD233 Black,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,Black,High,3,"$2,907.00 ",5,5,Desktops,Computers,Medium
SO497301,Great Britain,"Friday, November 15, 2013",I,416,Product0303001,AW00021036,,303001,Adventure Works Desktop PC2.33 XD233 Silver,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,Silver,High,4,"$3,876.00 ",3,2,Desktops,Computers,Medium
SO464621,Australia,"Saturday, October 26, 2013",I,422,Product0303007,AW00012013,,303007,Adventure Works Desktop PC2.33 XD233 Black,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,Black,High,3,"$2,907.00 ",3,5,Desktops,Computers,Medium
SO468911,Great Britain,"Tuesday, September 24, 2013",I,433,Product0303018,AW00020592,,303018,Adventure Works Desktop PC2.33 XD233 White,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,White,High,4,"$3,876.00 ",3,2,Desktops,Computers,Medium
SO472051,United States,"Sunday, June 30, 2013",I,428,Product0303013,AW00026301,,303013,Adventure Works Desktop PC2.33 XD233 Brown,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,Brown,High,2,"$1,938.00 ",5,2,Desktops,Computers,Medium
SO470971,Australia,"Sunday, December 9, 2012",I,428,Product0303013,AW00021257,,303013,Adventure Works Desktop PC2.33 XD233 Brown,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Adventure Works,Adventure Works,Deluxe,Brown,High,3,"$2,907.00 ",0,5,Desktops,Computers,Medium
SO445981,Germany,"Tuesday, October 9, 2012",I,444,Product0303029,AW00029400,,303029,WWI Desktop PC2.33 X2330 Black,"2.33GHz dual processor, 4MB L2 cache, 750GB 7200RPM hard drive",Wide World Importers,Wide World Importers,Deluxe,Black,High,4,"$3,676.00 ",4,5,Desktops,Computers,Medium
SO443841,United States,"Tuesday, April 17, 2012",I,438,Product0303023,AW00028296,,303023,WWI Desktop PC2.33 X2330 Silver,"2.33GHz dual processor, 750GB 7200RPM hard drive, 19” widescreen LCD monitors",Wide World Importers,Wide World Importers,Deluxe,Silver,High,2,"$1,838.00 ",3,5,Desktops,Computers,Medium
SO732331,United States,"Thursday, April 2, 2015",I,851,Product0308109,AW00018376,,308109,Contoso Laptop Keyboard X105 White,"Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","Contoso, Ltd",Contoso,Deluxe,White,Mid,5,"$1,154.50 ",6,5,Computers Accessories,Computers,Medium
SO477981,Australia,"Tuesday, February 18, 2014",I,852,Product0308110,AW00013000,,308110,Contoso Laptop Keyboard X105 Brown,"Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","Contoso, Ltd",Contoso,Deluxe,Brown,Mid,5,"$1,154.50 ",5,2,Computers Accessories,Computers,Medium
SO462231,United States,"Friday, November 22, 2013",I,850,Product0308108,AW00014892,,308108,Contoso Laptop Keyboard X105 Black,"Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","Contoso, Ltd",Contoso,Deluxe,Black,Mid,5,"$1,154.50 ",3,2,Computers Accessories,Computers,Medium
SO485961,Australia,"Saturday, August 3, 2013",I,851,Product0308109,AW00023101,,308109,Contoso Laptop Keyboard X105 White,"Beauty designed, wireless keyboard, combines easily with notebook to help improved comfort","Contoso, Ltd",Contoso,Deluxe,White,Mid,5,"$1,154.50 ",2,1,Computers Accessories,Computers,Medium
SO677361,United States,"Tuesday, February 10, 2015",I,161,Product0201046,AW00016850,,201046,"Adventure Works 52"" LCD HDTV X790W Silver","52'' 1080p 120Hz LCD HDTV, 16:9 Full HD 1080p Resolution (1920x1080p) LCD Panel",Adventure Works,Adventure Works,Deluxe,Silver,High,3,"$4,776.60 ",2,5,Televisions,TV and Video,Medium
SO510631,Australia,"Sunday, March 23, 2014",I,145,Product0201030,AW00027500,,201030,"Adventure Works 52"" LCD HDTV X590 Silver","52'' 1080p 240Hz LCD HDTV, Four HDMI, two component, one PC, and two composite video inputs",Adventure Works,Adventure Works,Deluxe,Silver,High,1,"$2,899.99 ",5,5,Televisions,TV and Video,Medium
SO468631,Great Britain,"Sunday, September 1, 2013",I,163,Product0201048,AW00011575,,201048,"Adventure Works 52"" LCD HDTV X790W White","52'' 1080p 120Hz LCD HDTV, 16:9 Full HD 1080p Resolution (1920x1080p) LCD Panel",Adventure Works,Adventure Works,Deluxe,White,High,1,"$1,592.20 ",3,5,Televisions,TV and Video,Medium
SO635451,France,"Sunday, March 1, 2015",I,204,Product0203013,AW00027796,,203013,Litware Home Theater System 7.1 Channel X711 Black,"660 watts into 7.1 channels (110 watts per channel at 6 Ohms, 1 kHz, 1 channel driven)","Litware, Inc.",Litware,Deluxe,Black,High,1,"$1,109.00 ",4,5,Home Theater System,TV and Video,Medium
SO462801,United States,"Sunday, September 29, 2013",I,236,Product0203045,AW00012121,,203045,Litware Home Theater System 7.1 Channel X711 Brown,"660 watts into 7.1 channels (110 watts per channel at 6 Ohms, 1 kHz, 1 channel driven)","Litware, Inc.",Litware,Deluxe,Brown,High,1,"$1,109.00 ",2,5,Home Theater System,TV and Video,Medium
SO451261,France,"Wednesday, August 21, 2013",I,220,Product0203029,AW00012480,,203029,Litware Home Theater System 7.1 Channel X711 Silver,"660 watts into 7.1 channels (110 watts per channel at 6 Ohms, 1 kHz, 1 channel driven)","Litware, Inc.",Litware,Deluxe,Silver,High,2,"$2,218.00 ",5,5,Home Theater System,TV and Video,Medium
SO482441,Australia,"Monday, July 15, 2013",I,204,Product0203013,AW00022860,,203013,Litware Home Theater System 7.1 Channel X711 Black,"660 watts into 7.1 channels (110 watts per channel at 6 Ohms, 1 kHz, 1 channel driven)","Litware, Inc.",Litware,Deluxe,Black,High,1,"$1,109.00 ",4,5,Home Theater System,TV and Video,Medium
SO447081,United States,"Saturday, November 10, 2012",I,236,Product0203045,AW00025909,,203045,Litware Home Theater System 7.1 Channel X711 Brown,"660 watts into 7.1 channels (110 watts per channel at 6 Ohms, 1 kHz, 1 channel driven)","Litware, Inc.",Litware,Deluxe,Brown,High,1,"$1,109.00 ",4,5,Home Theater System,TV and Video,Medium
SO683791,United States,"Monday, October 5, 2015",I,319,Product0205028,AW00016244,,205028,SV Car Video LCD9.2W X9281 Silver,"9.2"" 16:9 widescreen TFT LCD monitor, 500:1 contrast ratio",Southridge Video,Southridge Video,Deluxe,Silver,Low,2,"$1,738.00 ",4,5,Car Video,TV and Video,Medium
SO516211,France,"Tuesday, December 30, 2014",I,302,Product0205011,AW00017949,,205011,SV Car Video LCD9.2W X9280 Black,"9.2"" 16:9 widescreen TFT LCD monitor, 768 x 234 pixel resolutions",Southridge Video,Southridge Video,Deluxe,Black,Low,4,"$3,996.00 ",4,5,Car Video,TV and Video,Medium
SO729221,Australia,"Wednesday, December 17, 2014",I,302,Product0205011,AW00013957,,205011,SV Car Video LCD9.2W X9280 Black,"9.2"" 16:9 widescreen TFT LCD monitor, 768 x 234 pixel resolutions",Southridge Video,Southridge Video,Deluxe,Black,Low,3,"$2,997.00 ",3,5,Car Video,TV and Video,Medium
SO500661,Australia,"Friday, August 22, 2014",I,302,Product0205011,AW00024242,,205011,SV Car Video LCD9.2W X9280 Black,"9.2"" 16:9 widescreen TFT LCD monitor, 768 x 234 pixel resolutions",Southridge Video,Southridge Video,Deluxe,Black,Low,4,"$3,996.00 ",2,5,Car Video,TV and Video,Medium
SO475951,France,"Sunday, February 2, 2014",I,319,Product0205028,AW00014186,,205028,SV Car Video LCD9.2W X9281 Silver,"9.2"" 16:9 widescreen TFT LCD monitor, 500:1 contrast ratio",Southridge Video,Southridge Video,Deluxe,Silver,Low,3,"$2,607.00 ",5,5,Car Video,TV and Video,Medium
SO468541,Australia,"Wednesday, December 4, 2013",I,334,Product0205043,AW00020997,,205043,SV Car Video LCD9.2W X9280 Brown,"9.2"" 16:9 widescreen TFT LCD monitor, 768 x 234 pixel resolutions",Southridge Video,Southridge Video,Deluxe,Brown,Low,3,"$2,997.00 ",5,5,Car Video,TV and Video,Medium
SO478951,United States,"Monday, May 6, 2013",I,318,Product0205027,AW00015347,,205027,SV Car Video LCD9.2W X9280 Silver,"9.2"" 16:9 widescreen TFT LCD monitor, 768 x 234 pixel resolutions",Southridge Video,Southridge Video,Deluxe,Silver,Low,2,"$1,998.00 ",6,5,Car Video,TV and Video,Medium
SO439741,Great Britain,"Tuesday, October 9, 2012",I,318,Product0205027,AW00013687,,205027,SV Car Video LCD9.2W X9280 Silver,"9.2"" 16:9 widescreen TFT LCD monitor, 768 x 234 pixel resolutions",Southridge Video,Southridge Video,Deluxe,Silver,Low,4,"$3,996.00 ",4,5,Car Video,TV and Video,Medium
SO448541,United States,"Friday, January 13, 2012",I,303,Product0205012,AW00029004,,205012,SV Car Video LCD9.2W X9281 Black,"9.2"" 16:9 widescreen TFT LCD monitor, 500:1 contrast ratio",Southridge Video,Southridge Video,Deluxe,Black,Low,4,"$3,476.00 ",3,5,Car Video,TV and Video,Medium
SO657541,France,"Thursday, October 22, 2015",I,1659,Product0602089,AW00016286,,602089,Contoso DVD 14-Inch Player Portable L100 White,"6-hour rechargeable battery, 180-degree swivel and flip screen","Contoso, Ltd",Contoso,Deluxe,White,High,4,"$1,039.96 ",5,5,Movie DVD,"Music, Movies and Audio Books",Medium
SO620741,Germany,"Thursday, October 22, 2015",I,1605,Product0602035,AW00028500,,602035,SV DVD 15-Inch Player Portable L200 Black,"6-hour rechargeable battery, 180-degree swivel and flip screen",Southridge Video,Southridge Video,Deluxe,Black,Mid,4,"$1,159.96 ",1,5,Movie DVD,"Music, Movies and Audio Books",Medium
SO704411,Canada,"Thursday, June 25, 2015",I,1615,Product0602045,AW00021710,,602045,SV DVD 15-Inch Player Portable L200 White,"6-hour rechargeable battery, 180-degree swivel and flip screen",Southridge Video,Southridge Video,Deluxe,White,High,4,"$1,159.96 ",3,5,Movie DVD,"Music, Movies and Audio Books",Medium
SO686001,Germany,"Sunday, May 10, 2015",I,1605,Product0602035,AW00028706,,602035,SV DVD 15-Inch Player Portable L200 Black,"6-hour rechargeable battery, 180-degree swivel and flip screen",Southridge Video,Southridge Video,Deluxe,Black,Mid,4,"$1,159.96 ",6,5,Movie DVD,"Music, Movies and Audio Books",Medium
SO687361,Australia,"Monday, March 9, 2015",I,2100,Product0804016,AW00012684,,804016,Contoso Water Heater 7.2GPM X1800 Silver,"Delivers 7.2 gallons per minute, Can save up to 50% off utility costs annually","Contoso, Ltd",Contoso,Deluxe,Silver,Low,2,"$2,950.00 ",3,5,Water Heaters,Home Appliances,Medium
SO716171,United States,"Wednesday, February 18, 2015",I,2105,Product0804021,AW00021685,,804021,Contoso Water Heater 7.2GPM X1800 Grey,"Delivers 7.2 gallons per minute, Can save up to 50% off utility costs annually","Contoso, Ltd",Contoso,Deluxe,Grey,Low,1,"$1,475.00 ",3,5,Water Heaters,Home Appliances,Medium
SO600211,Germany,"Sunday, November 17, 2013",I,1903,Product0802007,AW00020860,,802007,Fabrikam Refrigerator 24.7CuFt X9800 Brown,"Total Capacity: 24.7cu.ft, Dispense-a-Can storage for easy access to drinks","Fabrikam, Inc.",Fabrikam,Deluxe,Brown,Mid,1,"$3,199.99 ",3,5,Refrigerators,Home Appliances,Medium
SO668141,United States,"Monday, December 7, 2015",I,1983,Product0803001,AW00015964,,803001,Fabrikam Microwave 1.5CuFt X1100 White,1100-watt 1-1/2-cubic-foot convection microwave oven,"Fabrikam, Inc.",Fabrikam,Deluxe,White,High,4,"$2,663.76 ",5,5,Microwaves,Home Appliances,Medium
SO729441,France,"Friday, August 21, 2015",I,2025,Product0803043,AW00019280,,803043,Litware Microwave 1.5CuFt X110 Silver,1100-watt 1-1/2-cubic-foot convection microwave oven,"Litware, Inc.",Litware,Deluxe,Silver,Mid,4,"$2,663.76 ",3,5,Microwaves,Home Appliances,Medium
SO667631,France,"Tuesday, August 18, 2015",I,2049,Product0803067,AW00022649,,803067,Litware Microwave 1.5CuFt X110 Blue,1100-watt 1-1/2-cubic-foot convection microwave oven,"Litware, Inc.",Litware,Deluxe,Blue,Mid,2,"$1,331.88 ",2,5,Microwaves,Home Appliances,Medium
SO727791,United States,"Saturday, April 25, 2015",I,1983,Product0803001,AW00028071,,803001,Fabrikam Microwave 1.5CuFt X1100 White,1100-watt 1-1/2-cubic-foot convection microwave oven,"Fabrikam, Inc.",Fabrikam,Deluxe,White,High,3,"$1,997.82 ",3,5,Microwaves,Home Appliances,Medium
SO617261,United States,"Saturday, December 13, 2014",I,2079,Product0803097,AW00020541,,803097,Contoso Microwave 1.5CuFt X0110 Black,1100-watt 1-1/2-cubic-foot convection microwave oven,"Contoso, Ltd",Contoso,Deluxe,Black,Mid,5,"$3,329.70 ",5,5,Microwaves,Home Appliances,Medium
SO693641,United States,"Thursday, December 4, 2014",I,2049,Product0803067,AW00019842,,803067,Litware Microwave 1.5CuFt X110 Blue,1100-watt 1-1/2-cubic-foot convection microwave oven,"Litware, Inc.",Litware,Deluxe,Blue,Mid,2,"$1,331.88 ",4,5,Microwaves,Home Appliances,Medium
SO533911,United States,"Saturday, June 7, 2014",I,2001,Product0803019,AW00024275,,803019,Fabrikam Microwave 1.5CuFt X1100 Red,1100-watt 1-1/2-cubic-foot convection microwave oven,"Fabrikam, Inc.",Fabrikam,Deluxe,Red,Mid,5,"$3,329.70 ",3,5,Microwaves,Home Appliances,Medium
SO515061,Great Britain,"Sunday, March 30, 2014",I,2055,Product0803073,AW00011616,,803073,Contoso Microwave 1.5CuFt X0110 White,1100-watt 1-1/2-cubic-foot convection microwave oven,"Contoso, Ltd",Contoso,Deluxe,White,Mid,3,"$1,997.82 ",6,5,Microwaves,Home Appliances,Medium
SO516661,Australia,"Sunday, December 15, 2013",I,1983,Product0803001,AW00019264,,803001,Fabrikam Microwave 1.5CuFt X1100 White,1100-watt 1-1/2-cubic-foot convection microwave oven,"Fabrikam, Inc.",Fabrikam,Deluxe,White,High,2,"$1,331.88 ",4,5,Microwaves,Home Appliances,Medium
SO697701,Germany,"Thursday, November 26, 2015",I,2286,Product0806097,AW00019439,,806097,Proseware Floor Lamp X0115 Silver,"Collapsible rectangular natural silk shade, walnut box frame, 1 x 150 Watt","Proseware, Inc.",Proseware,Deluxe,Silver,High,4,"$2,543.96 ",2,5,Lamps,Home Appliances,Medium
SO610231,United States,"Saturday, November 29, 2014",I,2294,Product0806105,AW00022250,,806105,Proseware Floor Lamp X0115 Grey,"Collapsible rectangular natural silk shade, walnut box frame, 1 x 150 Watt","Proseware, Inc.",Proseware,Deluxe,Grey,High,5,"$3,179.95 ",2,5,Lamps,Home Appliances,Medium
SO597542,United States,"Monday, November 10, 2014",I,2270,Product0806081,AW00025427,,806081,Proseware Floor Lamp X0115 Black,"Collapsible rectangular natural silk shade, walnut box frame, 1 x 150 Watt","Proseware, Inc.",Proseware,Deluxe,Black,High,3,"$1,907.97 ",4,5,Lamps,Home Appliances,Medium
SO545201,United States,"Monday, August 4, 2014",I,2246,Product0806057,AW00025366,,806057,WWI Floor Lamp X115 Silver,"Collapsible rectangular natural silk shade, walnut box frame, 1 x 150 Watt",Wide World Importers,Wide World Importers,Deluxe,Silver,High,5,"$3,179.95 ",3,5,Lamps,Home Appliances,Medium
SO583611,Great Britain,"Monday, March 3, 2014",I,2286,Product0806097,AW00024577,,806097,Proseware Floor Lamp X0115 Silver,"Collapsible rectangular natural silk shade, walnut box frame, 1 x 150 Watt","Proseware, Inc.",Proseware,Deluxe,Silver,High,3,"$1,907.97 ",5,5,Lamps,Home Appliances,Medium
SO687261,United States,"Tuesday, August 11, 2015",I,2481,Product0808072,AW00027459,,808072,Litware 18'' Oscillating Pedestal Fan M135 Yellow,18-inch oscillating pedestal fan with all-metal construction,"Litware, Inc.",Litware,Deluxe,Yellow,Mid,4,"$1,400.00 ",3,5,Fans,Home Appliances,Medium
SO678491,Germany,"Wednesday, April 29, 2015",I,2485,Product0808076,AW00019057,,808076,Litware 18'' Oscillating Pedestal Fan M145 Yellow,19-inch oscillating pedestal fan with all-metal construction,"Litware, Inc.",Litware,Deluxe,Yellow,Mid,3,"$1,200.00 ",6,5,Fans,Home Appliances,Medium
SO505231,Great Britain,"Tuesday, October 7, 2014",I,2482,Product0808073,AW00012860,,808073,Litware 18'' Oscillating Pedestal Fan M135 Blue,18-inch oscillating pedestal fan with all-metal construction,"Litware, Inc.",Litware,Deluxe,Blue,Mid,4,"$1,400.00 ",4,5,Fans,Home Appliances,Medium
SO560071,United States,"Sunday, March 1, 2015",I,2128,Product0805013,AW00012934,,805013,Contoso Coffee Maker Super-Auto 12C X1250 White,"Combination 12 cup Super-Auto coffee maker, 1250-watt super-automatic espresso machine","Contoso, Ltd",Contoso,Deluxe,White,Low,2,"$3,300.00 ",3,5,Coffee Machines,Home Appliances,Medium
SO520061,United States,"Saturday, December 27, 2014",I,2116,Product0805001,AW00020204,,805001,Contoso Coffee Maker Super-Auto 12C X1250 Black,"Combination 12 cup Super-Auto coffee maker, 1250-watt super-automatic espresso machine","Contoso, Ltd",Contoso,Deluxe,Black,High,3,"$4,950.00 ",4,5,Coffee Machines,Home Appliances,Medium
SO576711,France,"Monday, December 15, 2014",I,2134,Product0805019,AW00026902,,805019,Contoso Coffee Maker Super-Auto 12C X1250 Grey,"Combination 12 cup Super-Auto coffee maker, 1250-watt super-automatic espresso machine","Contoso, Ltd",Contoso,Deluxe,Grey,Low,1,"$1,650.00 ",3,5,Coffee Machines,Home Appliances,Medium
SO587021,Australia,"Sunday, October 5, 2014",I,2140,Product0805025,AW00023573,,805025,Adventure Works Coffee Maker Super-Auto 12C X125 Black,"Combination 12 cup Super-Auto coffee maker, 1250-watt super-automatic espresso machine",Adventure Works,Adventure Works,Deluxe,Black,Low,3,"$4,950.00 ",7,5,Coffee Machines,Home Appliances,Medium
SO514091,France,"Wednesday, June 25, 2014",I,2116,Product0805001,AW00011417,,805001,Contoso Coffee Maker Super-Auto 12C X1250 Black,"Combination 12 cup Super-Auto coffee maker, 1250-watt super-automatic espresso machine","Contoso, Ltd",Contoso,Deluxe,Black,High,2,"$3,300.00 ",4,5,Coffee Machines,Home Appliances,Medium
SO717421,United States,"Thursday, September 17, 2015",I,2348,Product0807001,AW00017017,,807001,Contoso Air conditioner 25000BTU L1672 White,"25,000-BTU air conditioner for large rooms up to 1672 square feet","Contoso, Ltd",Contoso,Deluxe,White,High,4,"$2,543.96 ",5,5,Air Conditioners,Home Appliances,Medium
SO697851,United States,"Friday, April 10, 2015",I,2404,Product0807057,AW00023706,,807057,Proseware Air conditioner 25000BTU L167 Grey,"25,000-BTU air conditioner for large rooms up to 1672 square feet","Proseware, Inc.",Proseware,Deluxe,Grey,High,2,"$1,271.98 ",4,5,Air Conditioners,Home Appliances,Medium
SO536761,France,"Thursday, February 19, 2015",I,2369,Product0807022,AW00015688,,807022,Contoso Air conditioner 25000BTU L1672 Grey,"25,000-BTU air conditioner for large rooms up to 1672 square feet","Contoso, Ltd",Contoso,Deluxe,Grey,High,2,"$1,271.98 ",4,5,Air Conditioners,Home Appliances,Medium
SO515121,France,"Thursday, August 7, 2014",I,2390,Product0807043,AW00011403,,807043,Proseware Air conditioner 25000BTU L167 Red,"25,000-BTU air conditioner for large rooms up to 1672 square feet","Proseware, Inc.",Proseware,Deluxe,Red,High,3,"$1,907.97 ",5,5,Air Conditioners,Home Appliances,Medium
SO659481,United States,"Sunday, August 23, 2015",I,1409,Product0503002,AW00017864,,503002,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Black","GSM/GPRS/EDGE, 1.4''",The Phone Company,The Phone Company,Deluxe,Black,High,2,"$1,178.00 ",4,5,Touch Screen Phones,Cell phones,Medium
SO596261,United States,"Sunday, October 5, 2014",I,1442,Product0503035,AW00014377,,503035,"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Gold","Video share service, 3.2-megapixel camera/camcorder",The Phone Company,The Phone Company,Deluxe,Gold,High,2,"$1,058.00 ",3,5,Touch Screen Phones,Cell phones,Medium
SO531201,United States,"Saturday, August 2, 2014",I,1409,Product0503002,AW00011664,,503002,"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Black","GSM/GPRS/EDGE, 1.4''",The Phone Company,The Phone Company,Deluxe,Black,High,2,"$1,178.00 ",4,5,Touch Screen Phones,Cell phones,Medium
SO653831,Australia,"Tuesday, November 17, 2015",I,1552,Product0504083,AW00014287,,504083,The Phone Company PDA Palm 4.7 inch L850 Silver,Removable/rechargeable battery and integrated keyboard,The Phone Company,The Phone Company,Deluxe,Silver,High,5,"$1,990.00 ",4,5,Smart phones & PDAs,Cell phones,Medium
SO681871,United States,"Friday, October 23, 2015",I,1540,Product0504071,AW00013056,,504071,The Phone Company PDA Wifi 4.7-inch L290 Silver,The sensitive slanted stylus tip gives you smooth navigation,The Phone Company,The Phone Company,Deluxe,Silver,High,4,"$1,520.00 ",3,5,Smart phones & PDAs,Cell phones,Medium
SO705831,United States,"Tuesday, August 18, 2015",I,1528,Product0504059,AW00027573,,504059,The Phone Company PDA Phone Unlocked 4.7 inches L550 Black,With 3MB Memory and 6-line backlit display,The Phone Company,The Phone Company,Deluxe,Black,High,4,"$1,208.00 ",4,5,Smart phones & PDAs,Cell phones,Medium
